name,sport,nationality,continent,year,event,feat,genre,image_name,info
Gu Jun,Badminton,Chine,Asie,1996,Double féminin,Titre,Feminin,Gu-Jun.jpg,Première joueuse chinoise titrée
Chen Li-chin,Badminton,Taiwan,Asie,1996,Double féminin,Participation,Feminin,Chen-Li-chin.jpg,Première joueuse taiwanaise à participer
Tsai Hui-min,Badminton,Taiwan,Asie,1996,Double féminin,Participation,Feminin,bad-96.jpg,Première joueuse taiwanaise à participer
Lisa Campbell,Badminton,Australie,Océanie,1996,Double mixte,Participation,Feminin,Lisa-Campbell.jpg,Première joueuse australienne à participer
Amanda Hardy,Badminton,Australie,Océanie,1996,Double mixte,Participation,Feminin,Amanda-Hardy.jpg,Première joueuse australienne à participer
Santi Wibowo,Badminton,Suisse,Europe,1996,Double mixte,Participation,Feminin,santi_wibowo_swiss-169.jpg,Première joueuse suissesse à participer
Gao Ling,Badminton,Chine,Asie,2000,Double mixte,Titre,Feminin,Badminton-gao_ling_crop.jpg,Première joueuse chinoise titrée
Saralee Thungthongkam,Badminton,Thaïlande,Asie,2000,Double mixte,Participation,Feminin,Saralee_Thungthongkam_2.jpg,Première joueuse thaïlandaise à participer
Koon Wai Chee,Badminton,Hong Kong,Asie,2000,Double féminin,Participation,Feminin,Koon-Wai-Chee.jpg,Première joueuse hongkongaise à participer
Ling Wan Ting,Badminton,Hong Kong,Asie,2000,Double féminin,Participation,Feminin,Ling+Wan-Ting.jpg,Première joueuse hongkongaise à participer
Gong Zhichao,Badminton,Chine,Asie,2000,Simple,Titre,Feminin,Gong-Zhichao.jpg,Première joueuse chinoise titrée
Camilla Martin,Badminton,Danemark,Europe,2000,Simple,Médaille,Feminin,Camilla-Martin-DEN-980x550.jpg,Première joueuse danoise en argent
Sonya McGinn,Badminton,Irlande,Europe,2000,Simple,Participation,Feminin,Sonya-McGinn.jpg,Première joueuse irlandaise à participer
Anu Nieminen,Badminton,Finlande,Europe,2000,Simple,Participation,Feminin,Anu-Nieminen.jpeg,Première joueuse finlandaise à participer
Nigella Saunders,Badminton,Jamaïque,Amérique du Sud,2004,Simple,Participation,Feminin,Nigella-Saunders.jpg,Seule joueuse jamaïcaine à participer
Lorena Blanco,Badminton,Pérou,Amérique du Sud,2004,Simple,Participation,Feminin,Lorena-Blanco.jpg,Première joueuse péruvienne à participer
Mia Audina,Badminton,Pays-Bas,Europe,2004,Simple,Médaille,Feminin,Mia-Audina.jpeg,Première joueuse hollandaise en argent
Michelle Claire Edwards,Badminton,Afrique du Sud,Afrique,2004,Simple;Double féminin,Participation,Feminin,Michelle_Edwards_Badminton_IMG_5105_(cropped).jpg,Première joueuse sud africaine à participer
Chantal Botts,Badminton,Afrique du Sud,Afrique,2004,Double féminin,Participation,Feminin,Chantal-Botts.jpg,Première joueuse sud africaine à participer
Chin Eei Hui,Badminton,Malaisie,Asie,2004,Double féminin,Participation,Feminin,Chin-Eei-Hui.jpg,Première joueuse malaisienne à participer
Wong Pei Tty,Badminton,Malaisie,Asie,2004,Double féminin,Participation,Feminin,Wong-Pei-Tty.jpg,Première joueuse malaisienne à participer
Antoinette Uys,Badminton,Afrique du Sud,Afrique,2004,Double mixte,Participation,Feminin,bad-04.jpg,Première joueuse sud africaine à participer
Sara Petersen,Badminton,Nouvelle-Zélande,Océanie,2004,Double mixte,Participation,Feminin,Sara-Petersen.jpg,Première joueuse néo-zélandaise à participer
Juliette Ah-Wan,Badminton,Seychelles,Afrique,2008,Double mixte,Participation,Feminin,"Juliette_Ah-Wan,_2018_African_Badminton_Championships_(cropped).jpg",Seule joueuse seychelloise à participer
Liliyana Natsir,Badminton,Indonésie,Asie,2008;2016,Double mixte,Médaille;Titre,Feminin,Liliyana-Natsir.jpg,Première joueuse indonésienne en argent - Première joueuse indonésienne titrée
Jiang Yanmei,Badminton,Singapour,Asie,2008,Double féminin,Participation,Feminin,jiangyanmei.jpg,Première joueuse singapourienne à participer
